pickup_hour,trip_count,avg_fare,avg_distance,avg_duration,company,month
3,5193,12.480672058540343,3.2747718082033503,11.42929584697349,yellow,10
4,3971,15.10051624276001,4.295180055401662,12.295987576596996,yellow,10
5,4969,15.675892533708994,4.584791708593278,12.09623331320856,yellow,10
6,11581,13.060489595026336,3.4800569898972458,12.032468410902915,yellow,10
7,19833,12.575059748903342,2.976860787576262,13.830150086556076,yellow,10
8,23359,12.708305150049231,2.7101472665781925,15.12703597471353,yellow,10
9,23612,13.005626799932237,2.6985465017787567,15.655874131797392,yellow,10
10,23520,12.928279761904763,2.6938397108843537,15.431680839002269,yellow,10
11,24485,13.20733020216459,2.6732558709413925,16.015959430944115,yellow,10
12,25400,13.578044488188977,2.8003307086614173,16.34108661417323,yellow,10
13,25125,13.98860736318408,2.995323383084577,16.65048225538972,yellow,10
14,26735,14.23704020946325,3.0713446792593975,17.640656442865158,yellow,10
15,26796,14.252611210628451,3.026866323331841,18.02776907001045,yellow,10
16,24898,14.614873082175274,3.1571238653707128,18.415272311029,yellow,10
17,28701,13.84803665377513,2.931014598794467,17.59066583045887,yellow,10
18,32285,13.052432089205514,2.738129162149605,16.201242579113107,yellow,10
19,31637,12.533109966178841,2.7410212725606096,14.738333280652402,yellow,10
20,28827,12.953490477677178,3.073307662954869,14.192048542454412,yellow,10
21,28149,13.153399765533411,3.173232796902199,13.951371274290384,yellow,10
22,26633,13.395966657905607,3.2822258100852326,14.102718432020426,yellow,10
23,21807,13.82061539872518,3.458147842435915,14.15631907185766,yellow,10
0,14841,13.364064416144464,3.413710666397143,13.106357388316152,yellow,11
1,10783,12.483914495038485,3.229944356858017,11.879597514606324,yellow,11
2,7389,12.171741778319124,3.1456949519556097,11.368189200162403,yellow,11
3,5040,12.933196428571428,3.467140873015873,11.537787698412698,yellow,11
4,4169,15.17531782201967,4.300062365075558,12.162229151675062,yellow,11
5,5087,16.05848240613328,4.75437389424022,12.381370814494463,yellow,11
6,11523,13.13299748329428,3.503995487286297,12.013353004136654,yellow,11
7,19609,12.416560252945075,2.9337238002957826,13.47205109898516,yellow,11
8,22816,12.760304172510518,2.7291593618513326,15.127062879850397,yellow,11
9,23336,12.798748285910182,2.663656582104902,15.169572763112788,yellow,11
10,24339,12.884890504950901,2.6841858745223717,15.304872837832285,yellow,11
11,24852,12.97444310317077,2.6259938837920487,15.643008610976983,yellow,11
12,26274,13.290189540991094,2.7359180178122857,15.909545558346656,yellow,11
13,26843,13.637678724434677,2.8664582945274373,16.420107042183563,yellow,11
14,27652,14.157215752929265,3.012100752205989,17.612303510294616,yellow,11
15,27624,13.887539458441935,2.8407301621778163,17.8322666280529,yellow,11
16,24888,14.661704435872709,3.0838858084217295,18.99480338583521,yellow,11
